AngularVelocity,KE,PE,TE
-0.0807, 130.2262, 0.3899, 130.6160
-0.0813, 132.0690, 3.6833, 135.7523
-0.0779, 121.2676, 18.9540, 140.2216
-0.0707, 100.0105, 43.0177, 143.0282
-0.0602, 72.4861, 71.0614, 143.5475
-0.0469, 43.9772, 97.6525, 141.6297
-0.0315, 19.7948, 117.7915, 137.5863
-0.0147, 4.2958, 127.7970, 132.0928
0.0027, 0.1495, 125.9003, 126.0498
0.0199, 7.9305, 112.5022, 120.4327
0.0361, 26.0551, 90.0878, 116.1429
0.0505, 51.0546, 62.8089, 113.8636
0.0625, 78.1639, 35.7646, 113.9284
0.0715, 102.1715, 14.0605, 116.2320
0.0769, 118.4149, 1.8038, 120.2187
0.0787, 123.7255, 1.2521, 124.9777
0.0765, 117.0975, 12.3381, 129.4357
0.0707, 99.8925, 32.7051, 132.5975
0.0614, 75.5218, 58.2395, 133.7612
0.0493, 48.7002, 83.9468, 132.6470
0.0350, 24.4765, 104.9427, 129.4192
0.0191, 7.2724, 117.3449, 124.6173
0.0024, 0.1111, 118.9245, 119.0356
-0.0144, 4.1352, 109.4474, 113.5827
-0.0304, 18.4486, 90.6900, 109.1386
-0.0449, 40.2818, 66.1339, 106.4157
-0.0572, 65.4650, 40.3648, 105.8298
-0.0668, 89.1646, 18.2392, 107.4038
-0.0731, 106.7903, 3.9450, 110.7353
-0.0758, 114.9080, 0.1492, 115.0573
-0.0748, 111.9540, 7.4400, 119.3940
-0.0702, 98.5598, 24.2163, 122.7762
-0.0622, 77.3974, 47.0557, 124.4531
-0.0513, 52.5888, 71.4512, 124.0401
-0.0380, 28.8458, 92.7232, 121.5690
-0.0230, 10.5517, 106.8977, 117.4493
-0.0070, 0.9725, 111.3946, 112.3670
0.0093, 1.7165, 105.4398, 107.1563
0.0250, 12.4935, 90.1698, 102.6633
0.0395, 31.1835, 68.4291, 99.6126
0.0521, 54.2034, 44.2776, 98.4810
0.0621, 77.1372, 22.2605, 99.3977
0.0691, 95.5522, 6.5437, 102.0959
0.0728, 105.8667, 0.0791, 105.9458
0.0728, 106.0826, 3.9936, 110.0762
0.0694, 96.2010, 17.3623, 113.5633
0.0625, 78.2067, 37.4262, 115.6329
0.0527, 55.6254, 60.1932, 115.8187
0.0405, 32.7792, 81.2583, 114.0375
0.0264, 13.9274, 96.6490, 110.5764
0.0111, 2.4801, 103.5336, 106.0137
-0.0046, 0.4152, 100.6889, 101.1040
-0.0200, 7.9674, 88.6827, 96.6501
-0.0344, 23.6109, 69.7632, 93.3741
-0.0471, 44.3291, 47.4668, 91.7960
-0.0575, 66.1451, 25.9860, 92.1311
-0.0651, 84.8488, 9.3823, 94.2311
-0.0696, 96.8083, 0.7855, 97.5938
-0.0706, 99.7024, 1.7527, 101.4551
-0.0682, 93.0000, 11.9506, 104.9506
-0.0625, 78.0606, 29.2435, 107.3041
-0.0538, 57.8269, 50.1630, 107.9899
-0.0425, 36.1975, 70.6294, 106.8269
-0.0294, 17.2397, 86.7501, 103.9898
-0.0149, 4.4214, 95.5308, 99.9522
0.0002, 0.0012, 95.3849, 95.3861
0.0153, 4.6602, 86.3827, 91.0429
0.0295, 17.4086, 70.2226, 87.6312
0.0423, 35.7674, 49.9307, 85.6981
0.0530, 56.2062, 29.3215, 85.5277
0.0611, 74.7841, 12.2893, 87.0733
0.0663, 87.8990, 2.0505, 89.9496
0.0682, 93.0045, 0.4937, 93.4982
0.0668, 89.1308, 7.7929, 96.9237
0.0621, 77.0790, 22.3862, 99.4652
0.0544, 59.2353, 41.3225, 100.5577
0.0442, 39.0576, 60.8817, 99.9392
0.0319, 20.3689, 77.3148, 97.6838
0.0182, 6.6212, 87.5434, 94.1646
0.0037, 0.2732, 89.6969, 89.9700
-0.0109, 2.3776, 83.4174, 85.7949
-0.0249, 12.4210, 69.9033, 82.3243
-0.0377, 28.4272, 51.6925, 80.1197
-0.0486, 47.3089, 32.2091, 79.5179
-0.0572, 65.4256, 15.1329, 80.5585
-0.0630, 79.2690, 3.6921, 82.9611
-0.0656, 86.1520, 0.0176, 86.1697
-0.0651, 84.7531, 4.7101, 89.4632
-0.0614, 75.3840, 16.7258, 92.1098
-0.0547, 59.9097, 33.6129, 93.5226
-0.0455, 41.3445, 52.0312, 93.3757
